"%1 %","%1 %"
"%1 &#176;C.","%1 &#176;C."
"%1 m/s","%1 m/s"
"%1 Pa","%1 Pa"
"Atmospheric pressure","Atmospheric pressure"
"City Code","City Code"
"City Name","City Name"
"Description","Description"
"Elogic Weather Forecast","Elogic Weather Forecast"
"Feels like","Feels like"
"Humidity","Humidity"
"No Forecast Available","No Forecast Available"
"Temperature","Temperature"
"Wind","Wind"
